TIME,CH,ADC
364209993,34,611
364211303,11,12896
364211409,34,601
364212725,11,12970
364212832,34,602
364214142,11,12981
364214249,34,611
364215565,11,12974
364215671,34,625
364216982,11,12973
364217088,34,621
364218399,11,12985
364218512,34,640
364219823,11,12924
364219929,34,638
364221239,11,13004
364221346,34,620
364222656,11,12974
364222762,34,618
364224073,11,12963
364224179,34,613
364225488,11,12765
364225595,34,540
364226905,11,12971
364227012,34,611
364228321,11,12975
364228428,34,605
364229743,11,12762
364229850,34,606
364231160,11,12966
364231267,34,622
364232577,11,12958
364232683,34,629
364233993,11,12974
364234100,34,638
364235409,11,12990
364235522,34,642
364236833,11,12955
364236940,34,632
364238249,11,12945
364238356,34,615
364239666,11,12956
364239773,34,616
364241083,11,12996
364241190,34,614
364242498,11,12904
364242605,34,605
364243916,11,12974
364244023,34,610
364245333,11,12970
364245443,34,605
364246754,11,12979
364246860,34,611
364248171,11,12991
364248278,34,621
364249587,11,12978
364249693,34,630
364251003,11,12975
364251109,34,638
364252419,11,12903
364252531,34,635
364253841,11,12971
364253948,34,640
364255258,11,12970
364255365,34,631
364256674,11,12986
364256781,34,640
364258092,11,12959
364258198,34,608
364259514,11,12934
364259621,34,605
364260931,11,13139
364261038,34,610
364262348,11,12940
364262454,34,585
364263764,11,12988
364263871,34,632
364265180,11,12939
